# ELP21 — ELP2000-82B planetary perturbations, component=3 (1=longitude,2=latitude,3=distance) — truncated to |amplitude| >= 0.001 (169 -> 40 rows)
# Source: same as ELP1-3, see elp1.csv. ipla has 11 integer multipliers: for group <16, ipla(1..8) multiply the 8 planetary mean longitudes p(1..8) and ipla(9,10,11) multiply del(D),del(l),del(F); for group >=16, ipla(1..7) multiply p(1..7) and ipla(8..11) multiply del(D),del(l'),del(l),del(F). Phase: y = pha_deg*deg + that sum, value added is amplitude*sin(y).
# columns: ipla1..ipla11 = integer multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
ipla1,ipla2,ipla3,ipla4,ipla5,ipla6,ipla7,ipla8,ipla9,ipla10,ipla11,phaDeg,amplitude
0,0,0,0,0,0,0,0,0,0,0,270.0,0.00149
0,0,0,0,0,0,0,0,0,1,0,270.0,0.00174
0,0,0,0,0,0,0,0,1,-3,0,90.0,0.00106
0,0,0,0,0,0,0,0,1,-2,0,90.0,0.01764
0,0,0,0,0,0,0,0,1,-1,0,90.0,0.32654
0,0,0,0,0,0,0,0,1,0,0,270.0,0.12302
0,0,0,0,0,0,0,0,1,1,0,270.0,0.26396
0,0,0,0,0,0,0,0,1,2,0,270.0,0.01449
0,0,0,0,0,0,0,0,2,-1,0,90.0,0.01066
0,0,0,0,0,0,0,0,2,0,0,270.0,0.00536
0,0,0,0,0,0,0,0,2,1,0,270.0,0.00587
0,0,0,0,0,0,0,1,-1,0,0,270.0,0.00126
0,0,0,0,0,0,0,1,1,-1,0,270.0,0.00214
0,0,0,0,0,0,0,1,1,0,0,90.0,0.04194
0,0,0,0,0,0,0,1,1,1,0,90.0,0.00235
0,0,0,0,0,0,0,2,-3,-1,0,90.0,0.00112
0,0,0,0,0,0,0,2,-3,0,0,90.0,0.0031
0,0,0,0,0,0,0,2,-2,-2,0,270.0,0.00173
0,0,0,0,0,0,0,2,-2,-1,0,90.0,0.0249
0,0,0,0,0,0,0,2,-2,0,0,90.0,0.0497
0,0,0,0,0,0,0,2,-2,1,0,90.0,0.00331
0,0,0,0,0,0,0,2,-1,-3,0,270.0,0.00125
0,0,0,0,0,0,0,2,-1,-2,0,270.0,0.02529
0,0,0,0,0,0,0,2,-1,-1,0,90.0,0.38245
0,0,0,0,0,0,0,2,-1,0,-2,270.0,0.00165
0,0,0,0,0,0,0,2,-1,0,0,90.0,0.51395
0,0,0,0,0,0,0,2,-1,1,0,90.0,0.03222
0,0,0,0,0,0,0,2,-1,2,0,90.0,0.00213
0,0,0,0,0,0,0,2,0,-1,0,270.0,0.00633
0,0,0,0,0,0,0,2,0,0,0,270.0,0.01356
0,0,0,0,0,0,0,2,0,1,0,270.0,0.00114
0,0,0,0,0,0,0,2,1,-1,0,270.0,0.06068
0,0,0,0,0,0,0,2,1,0,0,270.0,0.07754
0,0,0,0,0,0,0,2,1,1,0,270.0,0.00658
0,0,0,0,0,0,0,2,2,-1,0,270.0,0.01186
0,0,0,0,0,0,0,4,-2,-1,0,90.0,0.0014
0,0,0,0,0,0,0,4,-1,-2,0,90.0,0.00476
0,0,0,0,0,0,0,4,-1,-1,0,90.0,0.00993
0,0,0,0,0,0,0,4,-1,0,0,90.0,0.00394
0,0,0,0,0,0,0,4,1,-1,0,270.0,0.00146
