# ELP11 — ELP2000-82B planetary perturbations, component=2 (1=longitude,2=latitude,3=distance) — truncated to |amplitude| >= 0.001 (5233 -> 375 rows)
# Source: same as ELP1-3, see elp1.csv. ipla has 11 integer multipliers: for group <16, ipla(1..8) multiply the 8 planetary mean longitudes p(1..8) and ipla(9,10,11) multiply del(D),del(l),del(F); for group >=16, ipla(1..7) multiply p(1..7) and ipla(8..11) multiply del(D),del(l'),del(l),del(F). Phase: y = pha_deg*deg + that sum, value added is amplitude*sin(y).
# columns: ipla1..ipla11 = integer multipliers; phaDeg = phase offset in degrees; amplitude = arcsec (longitude/latitude) or km (distance)
ipla1,ipla2,ipla3,ipla4,ipla5,ipla6,ipla7,ipla8,ipla9,ipla10,ipla11,phaDeg,amplitude
0,0,0,0,0,0,0,0,2,-1,-1,0.09788,0.00143
0,0,0,0,0,0,0,0,2,-1,1,0.1079,0.00162
0,0,0,0,0,0,0,0,2,0,-1,0.14435,0.00321
0,0,0,0,0,1,0,0,-2,0,1,267.41538,0.00101
0,0,0,0,0,1,0,0,2,0,-1,266.95423,0.00103
0,0,0,0,1,0,0,0,-2,0,-1,354.59152,0.00164
0,0,0,0,1,0,0,0,-2,0,1,354.87377,0.00837
0,0,0,0,1,0,0,0,-2,1,-1,359.57886,0.00249
0,0,0,0,1,0,0,0,-2,1,1,358.81236,0.00208
0,0,0,0,1,0,0,0,-1,0,0,79.94322,0.00119
0,0,0,0,1,0,0,0,0,-1,-1,295.95314,0.00178
0,0,0,0,1,0,0,0,0,-1,1,294.28372,0.00181
0,0,0,0,1,0,0,0,0,1,-1,294.08048,0.00181
0,0,0,0,1,0,0,0,0,1,1,294.52112,0.0018
0,0,0,0,1,0,0,0,1,0,0,78.5413,0.00142
0,0,0,0,1,0,0,0,2,-1,-1,356.90677,0.00194
0,0,0,0,1,0,0,0,2,-1,1,356.39811,0.0023
0,0,0,0,1,0,0,0,2,0,-1,346.14598,0.00779
0,0,0,0,1,0,0,0,2,0,1,346.81478,0.00143
0,0,0,0,2,-5,0,0,0,-1,-1,346.45683,0.00299
0,0,0,0,2,-5,0,0,0,-1,1,346.26978,0.00305
0,0,0,0,2,-5,0,0,0,1,-1,346.27178,0.00305
0,0,0,0,2,-5,0,0,0,1,1,346.4591,0.00299
0,0,0,2,0,0,0,0,-1,0,0,343.88402,0.00131
0,0,0,2,0,0,0,0,1,-1,0,343.74996,0.00163
0,0,0,2,0,0,0,0,1,0,-2,163.82402,0.00188
0,0,0,2,0,0,0,0,1,0,0,163.75018,0.03884
0,0,0,2,0,0,0,0,1,1,0,163.74937,0.00261
0,0,1,-2,0,0,0,0,-2,0,-1,318.43293,0.00116
0,0,1,-2,0,0,0,0,-2,0,1,318.17659,0.00615
0,0,1,-2,0,0,0,0,-2,1,-1,321.35166,0.00141
0,0,1,-2,0,0,0,0,-2,1,1,321.43461,0.00113
0,0,1,-2,0,0,0,0,0,-1,-1,314.04103,0.00297
0,0,1,-2,0,0,0,0,0,-1,1,312.90846,0.00265
0,0,1,-2,0,0,0,0,0,0,-1,324.71916,0.00258
0,0,1,-2,0,0,0,0,0,0,1,324.90632,0.00253
0,0,1,-2,0,0,0,0,0,1,-1,312.90551,0.00267
0,0,1,-2,0,0,0,0,0,1,1,314.21189,0.00299
0,0,1,-2,0,0,0,0,2,-1,-1,321.59414,0.00128
0,0,1,-2,0,0,0,0,2,-1,1,321.81656,0.00157
0,0,1,-2,0,0,0,0,2,0,-1,320.08151,0.00634
0,0,1,-2,0,0,0,0,2,0,1,320.1375,0.00127
0,0,1,-1,0,0,0,0,-2,0,1,0.63791,0.00102
0,0,1,0,-3,0,0,0,1,0,0,110.92166,0.00472
0,0,1,0,-2,0,0,0,-2,0,-1,305.95343,0.00169
0,0,1,0,-2,0,0,0,-2,0,1,305.98316,0.00663
0,0,1,0,-2,0,0,0,-2,1,-1,305.73983,0.00201
0,0,1,0,-2,0,0,0,-2,1,1,305.70839,0.00168
0,0,1,0,-2,0,0,0,-1,0,0,100.50673,0.00349
0,0,1,0,-2,0,0,0,0,-1,-1,300.77514,0.00177
0,0,1,0,-2,0,0,0,0,-1,1,300.69538,0.00147
0,0,1,0,-2,0,0,0,0,0,-1,300.48941,0.00115
0,0,1,0,-2,0,0,0,0,0,1,300.94576,0.00148
0,0,1,0,-2,0,0,0,0,1,-1,301.64591,0.00134
0,0,1,0,-2,0,0,0,0,1,1,301.42728,0.00139
0,0,1,0,-2,0,0,0,1,-1,0,280.50698,0.00266
0,0,1,0,-2,0,0,0,1,0,0,100.50752,0.04964
0,0,1,0,-2,0,0,0,1,1,0,100.50794,0.00279
0,0,1,0,-2,0,0,0,2,0,-1,305.89091,0.00338
0,0,1,0,-2,5,0,0,1,0,0,266.29936,0.00105
0,0,1,0,-1,0,0,0,-2,-1,-1,1.575,0.00114
0,0,1,0,-1,0,0,0,-2,-1,1,1.66607,0.00182
0,0,1,0,-1,0,0,0,-2,0,-1,1.79585,0.00804
0,0,1,0,-1,0,0,0,-2,0,1,1.77997,0.03056
0,0,1,0,-1,0,0,0,-2,1,-1,1.64413,0.00916
0,0,1,0,-1,0,0,0,-2,1,1,1.61873,0.00765
0,0,1,0,-1,0,0,0,0,-1,-1,1.26914,0.00657
0,0,1,0,-1,0,0,0,0,-1,1,1.3963,0.00554
0,0,1,0,-1,0,0,0,0,0,-1,1.42005,0.0045
0,0,1,0,-1,0,0,0,0,0,1,1.30219,0.00591
0,0,1,0,-1,0,0,0,0,1,-1,1.1211,0.00511
0,0,1,0,-1,0,0,0,0,1,1,1.09775,0.0053
0,0,1,0,-1,0,0,0,1,0,-1,180.71271,0.00301
0,0,1,0,-1,0,0,0,1,0,0,96.81286,0.00802
0,0,1,0,-1,0,0,0,1,0,1,180.70716,0.00297
0,0,1,0,-1,0,0,0,2,-1,-1,1.06533,0.0017
0,0,1,0,-1,0,0,0,2,-1,1,0.84663,0.00234
0,0,1,0,-1,0,0,0,2,0,-1,0.45426,0.01409
